			LA	 				
Leroy Catholic Cemetery	12995 La. Hwy. 699(Leroy)	Maurice	LA	 70555	337-893-0610			
Leslie Harry's Family Cemetery	61306 Hollis-Leslie Road	Angie	LA	 70426	985-986-3780			
Lester Gibbs Family Cemetery	399 Speights Road	Keatchie	LA	 71046	972-762-4628			
Lettsworth Methodist Protestant Church Cemetery	Highway 1	Lettsworth	LA	 70753	225-492-3726			
Liberal Synagogue Cemetery	9665 Florida St.	Baton Rouge	LA	 70815	225-924-6773			
Liberty Cemetery	Parish Road #211	Coushatta	LA	 71019	318-932-3068			
Liberty Cemetery	Parish Road	Elton	LA	 70532	337-584-2759			
Liberty Chapel Cemetery	130 Liberty Chapel Road	Dry Prong	LA	 71423	318-899-5368			
Light Hill Baptist Church Cemetery	1823 Pinehill Road	Shreveport	LA	 71107	318-636-1887			
Lighthouse Baptist Church Cemetery	30997 Horse Road	Independence	LA	 70443	985-878-4472			
Lighthouse Baptist Memorial Gardens	27544 Driftwood Road	Folsom	LA	 70437	985-796-0254			
Lincoln Cemetery & Memorial Park	Mason Street	Pineville	LA	 71360	318-443-3630			
Lincoln Memorial Park	6915 West 70th St.	Shreveport	LA	 71129	318-603-3120			
Linder Family "Jasmine Acre"	39190 Tyler Ballard Road	Walker	LA	 70785	225-270-5857			
Line Creek Cemetery	Highway 1053	Kentwood	LA	 70444	601-542-5326			
Lismore Baptist Church Cemetery	5148 Hwy. 565	Jonesville	LA	 71343	318-758-3571			
Little Creek Cemetery	Hwy. 15	Archibald	LA	 71218	318-248-3642			
Little River United Pentecostal Church Cemetery	Highway 441	N/A	LA	 Not Known	225-567-5113			
Little Rock Baptist Church Cemetery	Hwy. 1	Morganza	LA	 70759	225-694-3772			
Little Zion Baptist Church Cemetery	2144 Hwy. 416	Lakeland	LA	 70752	225-638-3116			
Little Zion Cemetery	Corner 128 North St & Academy St	Opelousas	LA	 70571-1656	337-948-6490			
Little Zion Cemetery	Bayou de Glaise	Cottonport	LA	 71327	318-876-2591			
Little Zion Missionary Baptist Church Cemetery	62129 North 13th Street	Alton	LA	 70460	985-863-5182			
Littleton Family Cemetery	K. Littleton Road	Deville	LA	 71328	318-466-5527			
Livas Cemetery	303 Livas Lane	Thibodaux	LA	 70301	985-413-8998			
Live Oak Cemetery	Hwy. 565, Live Oak Planation	Joneville	LA	 71343	318-294-3439			
Live Oak Church Cemetery	65701 Lieve Oak Road	Angie	LA	 70426	985-986-2452			
Live Oak Community Cemetery	Live Oak Cemetery Road	Angie	LA	 70426	985-986-3798			
Living Word Cemetery	2496 Highway 63	Pine Grove	LA	 70726	225-454-2312			
Living Word Cemetery	3302 Main Hwy.	Breaux Bridge	LA	 70517	337-442-6979			
Lloyd Hutchinson Cemetery	25160 D Hutchinson Road	Holden	LA	 70744	225-5679578			
Log Cabin Inn Cemetery	275 Log Cabin Lane	Longville	LA	 70652	337-725-6387			
Logan Chapel Cemetery	1442 Hwy. 485	Robeline	LA	 71469	318-357-8591			
Loggy Bayou Cemetery	501 Burkett Road	Ringgold	LA	 71068	318-219-3883			
Loisel Memorial Park	Hwy 182  West End	Jeanerette	LA	 70544	337-276-4030			
Lone Cherry Baptist Church Cemetery	Hwy. 622	Mangham	LA	 71259	318-248-2458			
Lone Oak Cemetery	2376 Magnolia Church Road	Ragley	LA	 70657	337-298-2642			
Lone Pine Cemetery	119 Lone Pine Road	Bentley	LA	 71407	318-899-5102			
Lone Pine Cemetery	Poole Road	Monterey	LA	 71354	318-339-2392			
Longview Baptist Church Cemetery	2790 Bodcau Dam Road	Benton	LA	 71006	318-965-2988			
Lopez Cemetery	Dama Landry Road	Jennings	LA	 70546	337-824-2119			
Loranger Community Cemetery	Cemetery Road	Loranger	LA	 70446	985-878-4696			
Louis C. White Cemetery	Boggy Bayou Road	Monterey	LA	 71354	318-757-2210			
Louis Cousin Cemetery	59815 South 1st Street	Lacombe	LA	 70445	985-768-9508			
Love & Charity Cemetery	Third & Decatur Street	Kenner	LA	 70062	504-468-3565			
Love Family Cemetery	Mengel Road	Rayville	LA	 71269	318-728-4295			
Lovern's Garden of Rest	74190 Lovern Road	Pearl River	LA	 70452	985-863-7132			
Lovett Cemetery	166 T. C. King Road	Holden	LA	 70744	225-938-4697			
Lower Latanache Baptist Church Cemetery	11520 Hwy. 417	Batchelor	LA	 70715	225-718-4788			
Loyd's Memorial Cemetery	728 Highway 132	Delhi	LA	 71232-7175	318-878-6713			
Lusk Baptist Cemetery	Highway 429	Gonzales	LA	 70737	225-647-8575			
Lutheran Cemetery	Fanny Street	Baton Rouge	LA	 70802	225-338-9914			
Lyles Cemetery	La. Hwy. 11-51	Oberlin	LA	 70655	337-639-2630			
Lyles Cemetery	Lyles Cemetery Road	Reeves	LA	 70658	337-666-2274			
Lyons Point Cemetery	3030 Benton Road	Crowley	LA	 70526	337-783-2457			
M & J Thomas Family Cemetery	10262 Hwy 40 W	Independence	LA	 70443	985-878-3563			
M.P.C. Public Cemetery	8170 Battle Road	Ethel	LA	 70730	225-445-2103			
Ma Donna's Cajun Acres Cemetery	Cedar Lane	Branch	LA	 70516	337-684-2850			
Ma Donna's Cajun Acres Cemetery	Cedar Lane	Branch	LA	 70516	337-577-4606			
Macedonia Baptist Church Cemetery	145 Prevost Road	Ashton	LA	 70514	337-923-6038			
Macedonia Church Cemetery	40253 Macedonia Road	Hammond	LA	 70403	985-294-3432			
Macedonia Freewill Baptist Church Cemetery	28928 Horseshoe Road North	Independence	LA	 70443	985-687-5181			
Mack's Family Cemetery	706 West Green	Farmerville	LA	 71241	713-302-1644			
Maddox Cemetery	802 Hoyt Road	Boyce	LA	 71409	318-793-4492			
Madisonville Cemetery	400 Main St.	Madisonville	LA	 70447				
Magnolia Cemetery	877 Cotton St.	Evergreen	LA	 71333	318-964-2177			
Magnolia Cemetery	Firetower Road	Loranger	LA	 70446	985-878-3993			
Magnolia Cemetery	8064 Main St.	Houma	LA	 70360	985-856-1007			
Magnolia Cemetery	Magnolia Cemetery Road	Tullos	LA	 71479	318-628-5693			
Magnolia Cemetery	422 North 19th Street	Baton Rouge	LA	 70802	225-273-6420			
Magnolia Cemetery	1921 Magnolia Church Road	Ragley	LA	 70657	337-853-8974			
Magnolia Cemetery	1100 McKinley St.	Westlake	LA	 70669	337-433-0691			
Magnolia Cemetery & Magnolia Annex Cemetery	18th & Desiard Streets	Monroe	LA	 71210-0123	318-329-3296			
Magnolia Ridge	Miller Road	Livingston	LA	 70754	225-294-3578			
Mahoney Little Cemetery	362 Grady Gray Road	Basken	LA	 71219	318-498-0223			
Mallalieu United Methodist Cemetery	701 West Jefferson	St. Martinville	LA	 70582	337-394-5706			
Mallalieu United Methodist Church Cemetery	2700 Louisiana Avenue	Lafayette	LA	 70501	337-234-4338			
Mandeville Cemetery	Montgomery Street	Mandeville	LA	 70448	985-626-3144			
Mansfield Cemetery	Van Buren @ Mouton Street	Mansfield	LA	 71052	318-525-7953			
Manuel Resting Place	3757 Cottongin Caster Road	Oberlin	LA	 70655	337-639-2997			
Many Cemetery	810 N. Capitol	Many	LA	 71449	318-256-5101			
Maranatha	488 McKnight Road	Clinton	LA	 70722	225-683-3881			
Maranatha Cemetery	442 Hwy 470	Lecompte	LA	 71346	318-443-1125			
Margaret Memorial Cemetery	Florence Lane	Pearl River	LA	 70452	985-640-1382			
Marshal Dupre & Family Cemetery	Mulberry Road	Opelousas	LA	 70570	337-873-0266			
Marshall Cemetery	828 Jerry Boles Road	Provencal	LA	 71468	337-392-1100			
Marshall United Methodist Cemetery	Beech Street @ Bayou Huffpower	Bunkie	LA	 71322	318-346-2961			
Martin Cemetery	Road 507	Coushatta	LA	 71019	318-932-4557			
Martin Chapel Baptist Church Cemetery	1197 Ziegler Road	Newellton	LA	 71357	318-467-5607			
Martin Family Cemetery	3649 Huertevant	Sulphur	LA	 70663	337-625-8265			
Marvin Prevost Sr. Memorial Cemetery	48424 North Prevost Lane	Loranger	LA	 70446	985-345-7389			
Maryhill Cemetery	600 Maryhill Road	Pineville	LA	 71360	318-445-2401			
Maryland Chapel CME Methodist Cemetery	Hwy. 65  West	Branch	LA	 70516	337-684-6203			
Masonic Cemetery	Hwy. 10	Clinton	LA	 70722	225-683-3665			
Masonic Cemetery	Stimely Street	Simmesport	LA	 71369	318-359-3592			
Masonic Cemetery	400 City Park Ave	New Orleans	LA	 70119	504-482-0554			
Mater Dolorosa Church Catholic Cemetery	Hwy. 1181	Plaucheville	LA	 71362	318-922-3131			
Matlock's Cemetery	229 Matlock Road	Plain Dealing	LA	 71064	318-326-5782			
Maurepas Baptist Cemetery	23871 Hwy. 22	Maurepas	LA	 70449	225-695-3781			
Maurepas Community Cemetery	Hwy. 22	Maurepas	LA	 70449	225-235-6457			
Maurice Cemetery	Camp Salmen Road	Slidell	LA	 70458	985-643-6980			
Mavis B. Hodgeson Cemetery	42336 Highway 42	Prairieville	LA	 70769	225-752-2076			
Maxie Cemetery	Arbor Road	Crowley	LA	 70526	337-783-1169			
Mayflower Cemetery	Mayflower Road	Sligo	LA	 71037	318-949-8375			
McAlister-Parsons Cemetery	48478 Woodhaven Road	Tickfaw	LA	 70466	225-567-9347			
McBride Cemetery	295 McBride Road	Evans	LA	 70639	337-286-5329			
McCoy Cemetery	Williams Creek Area	Bryceland	LA	 71028	318-263-7219			
McCoy's Family Cemetery	735 Grove Street	Mansfield	LA	 71052	318-872-6527			
McCurley Cemetery	147 McCurley Road	Winnsboro	LA	 71295	318-435-6349			
McDonald Memorial Cemetery	Danville Road  West	Jonesboro	LA	 71251	318-259-8395			
McDonogh Cemetery	520 Hancock Avenue	Gretna	LA	 70054	504-393-2026			
McFatter Cemetery	Rigmaiden Cemetery Road	DeQuincy	LA	 70633	337-786-7289			
McFerren Family Cemetery	151 Frank Brown Road	Colfax	LA	 71417	318-419-5726			
McGee Family Cemetery	Highway 127  South	Jena	LA	 71342	318-992-2301			
McGee Family Cemetery	4767 Hwy. 361	Evergreen	LA	 71333	318-939-2353			
McKnight Family Cemetery	East Bear Lake Road	Tallulah	LA	 71282	318-341-7559			
McMahon Cemetery	21555 Hwy. 111	Evans	LA	 70639	337-286-5965			
McNutt Hill Cemetery	Murphy Road	Boyce	LA	 71409	318-487-4910			
McPherson's Family Cemetery	6240 Donahue Ferry Road	Pineville	LA	 71360	318-640-4706			
McRae Cemetery	295 Ben West Road	Leesville	LA	 71446	337-239-7647			
Meadows Chapel Methodist Church Cemetery	16172 Hwy. 73	Prairieville	LA	 70769	225-677-7907			
Memorial Baptist Church Cemetery	293 Memorial Church Rd.	Longville	LA	 70652	337-725-3766			
Memorial Garden at University United Methodist Chu	3350 Dalrymple Drive	Baton Rouge	LA	 70802	225-344-0343			
Memorial Garden Cemetery	St. Joan Street	New Roads	LA	 70760	225-638-8266			
Memorial Gardens Cemetery	Pickering Street	Mooringsport	LA	 71060	318-996-7661			
Memorial Gardens North	Blanchard-Dixie Rd	Blanchard	LA	 71009	318-221-1140			
Memorial Park Cemetery	402 W. Admiral Doyle Dr.	New Iberia	LA	 70560	337-369-9600			
Memorial Park Cemetery	South Marable St.	Bastrop	LA	 71220	318-283-3337			
Memorial Park of Lake Providence	Hwy. 597	Lake Providence	LA	 71254	318-574-0302			
Memorial Park of Tallulah	Hwy. 80	Tallulah	LA	 71282	318-574-0302			
Memory Lawn	Hwy LA 6	Natchitoches	LA	 71457	318-628-6921			
Mennonite Cemetery	Wenger Road	Des Allemands	LA	 70030	985-758-2464			
Mercy Cemetery	800 Block of Lyman Avenue	Rayne	LA	 70578	337-334-3516			
Merjon Cemetery	4725 Rebouche Road	Bossier City	LA	 71111	318-742-4199			
Mermentau Cemetery	South 13th Street	Mermentau	LA	 70556	337-824-8466			
Merrick Cemetery	St. Bernard Hwy.	Violet	LA	 70092	337-594-1838			
Metairie Cemetery	5100 Pontchartrain Blvd.	New Orleans	LA	 70124	504-486-6331			
Methvin Cemetery	1036 Hwy 67	Slaughter	LA	 70777				
Metz Cemetery	8020 Stirling Road	St. Francisville	LA	 70775	225-635-6113			
Meyer Family Cemetery	2755 Houston River Road	Westlake	LA	 70669	337-263-2326			
Mickie Kinchen Cemetery	La. Highway 43	Albany	LA	 70711	225-294-5579			
Midway Baptist Church Cemetery	353 Midway Church Road	Jonesboro	LA	 71251	318-259-6398			
Miller Cemetery	Miller Cemetery Road	Eunice	LA	 70535	337-457-5285			
Miller Cemetery	64363 Miller Road	Pearl River	LA	 70452	985-863-2280			
Miller Cemetery & Annex	702 Hwy. 109	Starks	LA	 70661	337-743-6132			
Miller Family Cemetery	1392 C. M. Davis Road	Jennings	LA	 70546	337-824-4420			
Miller Hilbun Cemetery	Line Creek Road	Kentwood	LA	 70444	985-229-4507			
Mimosa Pines Garden of Memories	568 Belle Moye Rd  Hwy 27  South	Sulphur	LA	 70665	337-583-2807			
Mimosa Pines Garden of Memories-North	Jim Pickens Road	Sulphur	LA	 70663	337-583-2804			
Miracle Deliverance Memorial Park	3940 East Burton Street	Sulphur	LA	 70663	337-625-1166			
Mission Ch of Little Flower-St Charles Cemetery	4598 Hwy. 361	Goudeau	LA	 71338	318-346-2840			
Mitchell Community Cemetery	Hwy. 111  East	Anacoco	LA	 71403	337-397-3434			
Mixon Cemetery	36673 Longleaf Drive	Independence	LA	 70443	985-878-6855			
Mixon Family Cemetery	25411 Hwy. 16	Amite	LA	 70422	985-732-2896			
Mizell-Hebert Cemetery	Highway 1036	Holden	LA	 70744	225-567-5216			
Monclova Baptist Church Cemetery	Hwy. 573	Waterproof	LA	 71375	318-749-3701			
Monroe Cemetery	180 Isom Monroe Lane	Goldonna	LA	 71031	318-443-2252			
Montpelier Community Cemetery	Brookter Street	Montpelier	LA	 70422	225-777-4206			
Moore Family Acres	139 H. Roberts Road	Leesville	LA	 71446	337-238-5109			
Moore Family Cemetery	27073 Owl Lane	Mt. Hermon	LA	 70450	985-877-5004			
Moore Farms	200 Alford Rode	Haughton	LA	 71037	318-564-0059			
Moreau Family Burial Plot	3888 Lapine Road	Eros	LA	 71238	318-376-9053			
Morgan Church Cemetery	37456 Hwy. 16	Amite	LA	 70422	225-777-4635			
Morgan City Cemetery	450 Myrtle St	Morgan City	LA	 70380	985-385-1770			
Morgan Family Cemetery	20260 Morgan Lane	Hammond	LA	 70403	985-345-3626			
Morgan Heirs Cemetery	Cemetery Road	Slidell	LA	 70460	985-641-3601			
Morning Star Baptist Church Cemetery	4111 Hwy 308	Raceland	LA	 70394	985-537-3844			
Morning Star Baptist Church Cemetery	Hwy. 10	Morganza	LA	 70759	225-694-2148			
Morning Star Baptist Church of Grand Caillou Cemet	118 Mission Blvd.	Houma	LA	 70363	985-563-4410			
Morning Star Missionary Baptist Church Cemetery	Bearwillow Road	Lake Providence	LA	 71254	318-559-0114			
Morning Star-Pleasant Star Cemetery	Old Field Road	Winnsboro	LA	 71295	318-435-4833			
Morse Family Cemetery	118 Morse Road	Madisonville	LA	 70447	985-845-7573			
Moses Baptist Church Cemetery	McCulla Street	Thibodaux	LA	 70302	985-447-2218			
Moses Cemetery	42 Tom Moses Road	Deville	LA	 71328	318-253-8179			
Mosley - Amburn Cemetery	3544 Hwy 389	Merryville	LA	 70653	337-825-8592			
Moss Grove Cemetery	Whitehead Bend Road	Jonesville	LA	 71343	318-339-4466			
Mount Calvary Cemetery	4784-A Bayouside Drive	Chauvin	LA	 70344	985-594-4990			
Mount Zion Baptist Church of Boutte Cemetery	2023 Paul Mallard road	Boutte	LA	 70039	985-785-8395			
MPC Public Cemetery	8170 Battle Road	Ethel	LA	 70730	225-445-2103			
Mt. Airy Memorial Park Cemetery	13635 Old Spanish Trail	Boutte	LA	 70039	985-785-1013			
Mt. Bethel Baptist Church Cemetery	Hwy 1	Abend	LA	 70346	225-473-8235			
Mt. Beulah Christian Church Cemetery	12539 Hwy 84, West	Frogmore/Wildsville	LA	 71343	318-757-8664			
Mt. Calvary Baptist Cemetery	315 Railroad Ave.	Jeanerette	LA	 70544-0907	337-276-5311			
Mt. Calvary Baptist Church Cemetery	Hwy. 18	Welcome	LA	 70086	225-746-0807			
Mt. Calvary Cemetery	Hwy. 190	Eunice	LA	 70535	337-457-3594			
Mt. Calvary Memorial Park	Neco Town Road	New Iberia	LA	 70560	337-364-6966			
Mt. Carmel Baptist Church Cemetery	10214 Eighty Arpent Road	Patoutville	LA	 70544	337-276-9090			
Mt. Carmel Baptist Church Cemetery	Bayou Paul Lane	Sunshine	LA	 70780	225-642-8145			
Mt. Carmel Cemetery	11567 Ferdinand Street	St Francisville	LA	 70775	225-635-3630			
Mt. Comfort Baptist Church Cemetery	Dorcheate Road	Minden	LA	 71058	318-377-3233			
Mt. Era Cemetery	8616 Callegan Road	Morganza	LA	 70759	225-694-2295			
Mt. Gideon Baptist Church Cemetery	7386 Battle Road	Ethel	LA	 70730	225-634-2238			
Mt. Gilead Baptist Church Cemetery	8239 Mt. Gilead Road	Vivian	LA	 71082	318-426-1997			
Mt. Lebanon Cemetery	12475 Hwy. 154	Gibsland	LA	 71028	318-843-6228			
Mt. Mariah Cemetery	3192 Hwy. 18  West	Abend	LA	 70346	225-473-2668			
Mt. Olive Baptist East Cemetery	Hwy. 147 at Mt. Olive Crossroad	Quitman	LA	 71268	318-259-3936			
Mt. Olive Cemetery	Highway 105	Woodside	LA	 71369	337-623-4916			
Mt. Olive West Cemetery	Highway 155	Quitman	LA	 71268	318-259-2493			
Mt. Olivet Cemetery	335 Main Street	Pineville	LA	 71360	318-640-9762			
Mt. Olivet Cemetery	4000 Norman Mayer Blvd.	New Orleans	LA	 70122	504-283-4358			
Mt. Olivet Cemetery	335 Main Street	Pineville	LA	 71360	318-473-8787			
Mt. Olivet Cemetery	14320 Hwy. 84	Logansport	LA	 71049	318-697-5856			
Mt. Pilgrim Baptist Church Cemetery	14339 Ventress Road	Ventress	LA	 70783	225-638-3375			
Mt. Pilgrim Baptist Church Cemetery	6558 Pine Point Road	Ville Platte	LA	 70586	337-363-4551			
Mt. Pilgrim Baptist Church Cemetery	6211 Hwy. 73	Geismar	LA	 70734	225-673-3515			
Mt. Pilgrim Benevolent Society Cemetery	8676 Elm Grove  West	Baton Rouge	LA	 70807	225-774-2153			
Mt. Pisgah Baptist Church Cemetery	138 Walter Road	Spearsville	LA	 71277	318-778-3707			
Mt. Pleasant Cemetery	585 Mt. Pleasant Road	West Monroe	LA	 71292	318-398-2787			
Mt. Stevens Cemetery	North Cherry Street	Hammond	LA	 70401	985-878-3456			
Mt. Triumph Baptist Church Cemetery	West 10th St.	Donaldsonville	LA	 70346	225-473-7586			
Mt. Union Church Cemetery	Intersection of Hwy. 15 & 558	Spearsville	LA	 71277	318-778-3790			
Mt. Zion Baptist Church Cemetery	Corner of 4th & Elizabeth Sts	Donaldsonville	LA	 70346	225-473-4759			
Mt. Zion Cemetery	56084 Alfred Richardson Road	Loranger	LA	 70446	985-839-4141			
Mt. Zion Cemetery	1056 Hwy 80, East	Calhoun	LA	 71225	318-644-2688			
Mt. Zion Cemetery	Mooringsport-Greenwood Road	Mooringsport	LA	 71060	318-746-2578			
Mt. Zion Cemetery	Parish Road #340	Coushatta	LA	 71019	318-932-5406			
Mt. Zion Cemetery	17683 Highway 933	Prairieville	LA	 70769	225-644-3111			
Mt. Zion United Methodist Church Cemetery	Benton Road	Vanceville	LA	 Not Known	318-746-4702			
Mulhearn Memorial Park Cemetery	623 Hwy. 80  East	Monroe	LA	 71203	318-343-1511			
Munch Memorial Cemetery	20481 Hwy. 16	Amite	LA	 70422	985-748-6165			
Murray's Cemetery	Robin Lane	Mt. Hermon	LA	 70450	985-630-6212			
Murray-Devall Cemetery	12911 Sullivan Road	Baton Rouge	LA	 70818	225-261-2024			
Myrtle Grove Cemetery #1	Hwy. 65	Waterproof	LA	 71375	318-749-3485			
Myrtle Memorial Cemetery	2105 Hwy. 865  Robinson Road	Winnsboro	LA	 71295	318-435-5383			
Nairn Cemetery	Hwy. 11	Nairn	LA	 	504-394-6600			
Nathan McBride Cemetery	242 Hwy. 178	Church Point	LA	 70525	337-789-4688			
Nativity of Our Lady Mausoleum	Richelieu Circle	New Iberia	LA	 70560	337-364-8360			
Neal Cemetery	15 Neal Cemetery Road	Clifton	LA	 71447	318-451-2849			
New Bethany Cemetery	2151 Sam Houston Jones Parkway	Lake Charles	LA	 70611	337-855-1232			
New Butler Cemetery	Miles Lane/E. Factory Street	Amite	LA	 70422	985-748-8761			
New China Grove Baptist Church #2 Cemetery	Hwy. 128  West	St. Joseph	LA	 71366	318-766-4533			
New Era Baptist Church Cemetery	10118 Hwy. 129	Monterey	LA	 71354	318-386-7405			
New Fountain Baptist Church Cemetery	Hwy. 308	Lockport	LA	 70374	985-532-6285			
New Haven Baptist Church Cemetery	Hwy. 1064	Tickfaw	LA	 70466	225-567-5456			
New Hope Baptist Cemetery	1716 Alamo Road	Ville Platte	LA	 70586	337-363-7792			
New Hope Baptist Church Cemetery	Highway 164(Doyline Road)	Haughton	LA	 71037	318-532-2566			
New Hope Baptist Church Cemetery	Jordan Ferry Road	Hanna	LA	 71035	318-932-6828			
New Hope Baptist Church Cemetery	Cottonbelt Road	Mansfield	LA	 71052	318-872-4388			
New Hope Baptist Church Cemetery	434 7th Street	Gretna	LA	 70053	504-367-3452			
New Hope Free Methodist Church Cemetery	1178 Hwy 1206	Deville	LA	 71328	318-466-3662			
New Life Cemetery	2629 Highway 130	Winnsboro	LA	 71295	318-435-5649			
New Light Baptist Church Cemetery	134 Stubblefield Road	Evergreen	LA	 71333	318-452-3221			
New Mt. Calvary Baptist Cemetery	6433 Hwy. 405  Modeste Community	Donaldsonville	LA	 70346	225-473-2810			
New Mt. Olive Baptist Church Cemetery	76625 Garner Lane	Grosse Tete	LA	 70740	225-287-3638			
New Mt. Zion Baptist Church Cemetery	197 La. Hwy. 900	Clayton	LA	 71326	318-757-6698			
New Ramah Cemetery	1127 Hwy. 808	Haynesville	LA	 71038	318-624-3002			
New River Baptist Church Cemetery	45270 Hwy. 429	St. Amant	LA	 70774	225-675-5736			
New Roads Church Cemetery	Highway 3131- Hospital Road	New Roads	LA	 70760	225-638-7000			
New Salem Cemetery	Highway 8	Sicily Island	LA	 71368	318-435-3911			
New Sardis Cemetery	Ed Ruthedge Road	Monore	LA	 71292	318-366-8831			
New Spiritual Growth Cemetery	61077 Bennett Road	Amite	LA	 70422	985-748-6811			
New Testament Church Cemetery	26012 Highway 42	Holden	LA	 70744	225-567-5962			
New Union Cemetery	New Union Church Road	Tullos	LA	 71479	318-534-6516			
New Zion  C. M. E. Church Cemetery	1240 Linton Road	Benton	LA	 71006	318-965-0817			
New Zion Baptist Cemetery	11690 Church St.	Maringouin	LA	 70757	225-648-2575			
New Zion Baptist Church Cemetery	Ditto Road	Sicily Island	LA	 LA	318-389-4266			
New Zion Missionary Baptist Church	Hwy. 65	Sondheimer	LA	 71276	318-574-2857			
Nibletts Bluff Cemetery	Wright Road	Vinton	LA	 70668	337-589-3281			
Ninth Baptist Cemetery	726 N. Latour Road	Ville Platte	LA	 70586	337-363-4357			
Noble Cemetery	Highway 1218	Noble	LA	 71462	318-645-9316			
Nolan and Marie Family Cemetery	329 Nunn Street	Columbia	LA	 71418	318-649-8594			
Nolley Memorial Cemetery	Hwy. 84	Jena	LA	 71342	318-992-4020			
Normand Family Cemetery	7868 Hickory Grove Loop	Deville	LA	 71328	318-466-0078			
Normand's Family Burial Ground	1184 N. Preston Street	Marksville	LA	 71351	318-717-3412			
Norris Cemetery	40268 Laurel Oaks Lane	Mt. Harmon	LA	 470450	985-877-5586			
Northminister Columbarium	2701 Lamy Lane	Monroe	LA	 71201	318-322-2874			
Null Cemetery	48404 Morris Road	Hammond	LA	 70401	985-345-7379			
Oak Forest Cemetery	Oak Forest Cemetery Road	Olla	LA	 71465	318-649-6318			
Oak Grove Baptist Church Cemetery	Hwy 489S	Lacamp	LA	 71438	318-491-1261			
Oak Grove Cemetery	5500 Mc Clellang Drive	Baton Rouge 	LA	 70670	225-302-7515			
Oak Grove Cemetery	Quick Road	Chestnut	LA	 71017	318-476-2171			
Oak Grove Church of God Cemetery	23174 Hwy. 40	Loranger	LA	 70446	985-748-7015			
Oak Grove United Methodist Church Cemetery	Hwy. 107	Effie	LA	 71331	318-305-0809			
Oak Grove United Methodist Church Cemetery	328 Oak Grove Church Road	Gibsland	LA	 71028	318-677-9092			
Oak Hill Baptist Church Cemetery	154 Pastor's Drive	Many	LA	 71449	318-256-2456			
Oak Hill Cemetery	210 Oak Hill Cemetery Road	Oakdale	LA	 71463	318-623-8853			
Oak Island Cemetery	England Air Force Base	Alexandria	LA	 71301	318-443-0244			
Oak Lane Memorial Park	15304 LA Hwy. 73	Prairieville	LA	 70769	225-673-2111			
Oak Meadows Cemetery	42164 Oscar Starkey Lane	Hammond	LA	 70403	225-414-0374			
Oak Ridge Church Cemetery	65371 North Jackson Road	Kentwood	LA	 70444	985-630-2828			
Oakdale Cemetery	Hwy. 1152	Oakdale	LA	 71463	318-335-0453			
Oakland Cemetery	270 Hwy. 470	Lecompte	LA	 71346	318-487-6182			
Oakland Cemetery	1000 Milam Street	Shreveport	LA	 71101	318-673-7779			
Oaklawn Cemetery	Beaufort Street	Welsh	LA	 70591	337-734-2231			
Oakley Cemetery	2155 Calhoun Road	Wisner	LA	 71378	318-724-7287			
Oakwood Cemetery	Hwy. 602	Tallulah	LA	 71282	318-574-4249			
Oberlin Cemetery	5th Avenue & 4th Sts.	Oberlin	LA	 70655	337-639-4333			
Ochsner Family Cemetery	44372 Milton Lane	Robert	LA	 70455	985-345-6216			
Odd Fellows Rest	5055 Canal Street	New Orleans	LA	 70119	225-667-4614			
Ogden Cemetery	Highway 870	Liddieville	LA	 71295	318-435-6972			
Old Catholic Cemetery	Common & Iris Streets	Lake Charles	LA	 70601	337-436-7251			
Old Cemetery	Vine & Carron Streets	Washington	LA	 70589	337-826-3626			
Old Chapel Cemetery	Carrol Creek Road	Coushatta	LA	 71019	318-932-4357			
Old City Cemetery	18th & DiSiard Streets	Monroe	LA	 71201	318-329-2415			
Old Daughters Baptist Church Cemetery	171 Mills Road	Wildsville	LA	 71377	318-339-6220			
Old Grand Prairie Cemetery	1074 Hwy. 748 (Grand Prairie)	Grand Prairie	LA	 70589-4541	337-826-3870			
Old Hungarian & Albany Presbyterian Cemetery	Springfield Road	Albany	LA	 70711	225-567-9460			
Old Place Cemetery	25457 Hwy. 22	Independence	LA	 70443	225-567-2517			
Old Union Cemetery	193 Old Union Road	Shongaloo	LA	 71072	318-624-0073			
Old Ville Platte Cemetery	Chataignier & Cotton Sts.	Ville Platte	LA	 70586	337-363-2939			
Old Zion Cemetery	418 Zion Road	Cottonport	LA	 71322	318-346-9830			
Old Zion Hill Baptist Church Cemetery	28950 LA Hwy 442	Independence	LA	 70744	225-567-3331			
Oliphant Family Cemetery	32313 Hwy. 441	Holden	LA	 70744	225-567-2327			
Olivier Cemetery	1485 St. Claire Drive	Church Point	LA	 70525	337-684-5365			
Olla Cemetery	3400 Front Street	Olla	LA	 71465	318-495-3750			
Open Door Community Church Prairie View Cemetery	12960 Hwy 28 East	Deville	LA	 71328	318-466-9209			
Orange Grove & Graceland Cemeteries	2023 E. Broad St.	Lake Charles	LA	 70601	337-474-0203			
Os-Glo Cemetery	18009 Hwy. 933	Prairieville	LA	 70769	225-622-4802			
Ossie Ordogne Cemetery	Fish Hatchery Road	Lacombe	LA	 70445	985-710-3060			
Our Lady of Good Harbor Cemetery	Highway 11	Buras	LA	 70041	504-564-6792			
Our Lady of Lourdes Cemetery	Canulette Road	Slidell	LA	 70458	985-643-4137			
Our Lady of Lourdes Cemetery	Hwy 1194	Marksville	LA	 71351	318-253-9936			
